Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Scale,Region_Specific,Risk_Metrics_Influenced
Company Registration,N/A,N/A,REG-001,Business Name,Business Name,Text,Free text,No,N/A
Company Registration,N/A,N/A,REG-002,Business Size,Business Size (FTEs),Number,Integer,No,All metrics
Company Registration,N/A,N/A,REG-003,Annual Revenue,Annual Revenue,Currency,Currency amount,No,Revenue at Risk
Company Registration,N/A,N/A,REG-004,Industry Sector,Industry Sector,Dropdown,GICS classification,No,All metrics
Company Registration,N/A,N/A,REG-005,Headquarter Country,Headquarter Country,Dropdown,Country list,No,All metrics
Company Registration,N/A,N/A,REG-006,Operational Regions,Operational Regions (tick all that apply),Multi-select,"Europe|North America|South America|Asia|Oceania|Africa",No,All metrics
Company Registration,N/A,N/A,REG-007,IT Infrastructure,IT Infrastructure Profile,Single select,"Cloud|On-Premises|Hybrid",No,Service Availability at Risk
Company Registration,N/A,N/A,REG-008,Business Model,Business Model,Dropdown,"Transaction/Sales|Fee-for-Service|Subscription/Recurring|B2B/Wholesale|Manufacturing/Production|Platform/Marketplace|Advertising|Franchise|Freemium|Licensing/IP",No,All metrics
Risk Assessment,Economics,Financials,FIN-001,Liquidity Risk,Liquidity Risk: likelihood of cash flow crisis due to shocks [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Capex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FIN-002,Market Factors Impact,Market Factors Impact: impact of interest/currency/inflation on operations [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Opex at Risk"
Risk Assessment,Economics,Financials,FIN-003,Insufficient Reserves,Insufficient Reserves: adequacy of contingency funds [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Opex at Risk, Capex at Risk"
Risk Assessment,Economics,Business Model,BM-001,Disruption Risk,Disruption Risk from market/competitor shifts [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BM-002,Revenue Concentration,Revenue Concentration risk [Rate 1-5 for each selected region],Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk",Yes,"Revenue at Risk, Enterprise Value at Risk"
