Section,Dimension,Question ID,Question Text,Response Type,Response Options / Scale,Financial Impact Metric 1,Impact Amount 1,Financial Impact Metric 2,Impact Amount 2,Financial Impact Metric 3,Impact Amount 3,Notes
Company Registration,N/A,Q1,Company Legal Name,Text Input,,,,,,,,,
Company Registration,N/A,Q2,Trading Name (if different),Text Input (Optional),,,,,,,,,
Company Registration,N/A,Q3,Industry,Dropdown,Primary industry classification,,,,,,,,
Company Registration,N/A,Q4,Company Website,URL Input,,,,,,,,,
Company Registration,N/A,Q5,Headquarters Country,Dropdown,Country list,,,,,,,,
Company Registration,N/A,Q6,Year Established,Year Selector,,,,,,,,,
Company Registration,N/A,Q7,Public/Private Status,Multiple Choice,"Public (Listed), Private, Government/Non-profit",,,,,,,,
Company Registration,N/A,Q8,Stock Exchange & Ticker,Text Input (Conditional),If public company,,,,,,,,
Company Registration,N/A,Q9,Primary Business Model,Dropdown,"Transaction/Sales Model, Fee-for-Service Model, Subscription/Recurring Revenue Model, B2B Sales/Wholesale Model, Manufacturing/Production Model, Platform/Marketplace Model, Advertising Model, Franchise Model, Freemium Model, Licensing/IP Model",,,,,,,,
Company Registration,N/A,Q10,Secondary Business Models,Multi-Select (Max 2),Same as Q9,,,,,,,,
Company Registration,N/A,Q11,Total Annual Revenue (Last Fiscal Year),Range Selection,"Under $1M, $1M-$10M, $10M-$50M, $50M-$100M, $100M-$500M, $500M-$1B, $1B-$10B, Over $10B",,,,,,,,
Company Registration,N/A,Q12,Total Employees (FTE),Range Selection,"1-10, 11-50, 51-200, 201-500, 501-1000, 1001-5000, 5001-10000, Over 10000",,,,,,,,
Company Registration,N/A,Q13,Annual EBITDA,Range Selection,"Negative/Loss-making, $0-$1M, $1M-$10M, $10M-$50M, $50M-$100M, $100M-$500M, Over $500M",,,,,,,,
Company Registration,N/A,Q14,Number of Countries Operating In,Range Selection,"1 country, 2-5 countries, 6-10 countries, 11-25 countries, 26-50 countries, Over 50 countries",,,,,,,,
Company Registration,N/A,Q15,Annual Operating Expenses (Opex),Currency Input,Currency + Amount,,,,,,,,
Company Registration,N/A,Q16,Annual Capital Expenditure (Capex),Currency Input,Currency + Amount,,,,,,,,
Company Registration,N/A,Q17,"Annual Strategic Expenditure (Stratex)",Currency Input,Currency + Amount,,,,,,,,
Company Registration,N/A,Q18,Market Capitalization or Enterprise Valuation,Currency Input (Optional),Currency + Amount,,,,,,,,
ENABLERS,Brand,Q1,Brand Reputation Vulnerability,Risk Scale 1-5,"1=Minimal Risk (Strong brand, excellent reputation management), 2=Low Risk (Good reputation with monitoring), 3=Moderate Risk (Average reputation, periodic concerns), 4=High Risk (Weak reputation management, frequent negative sentiment), 5=Critical Risk (Severe reputation issues, active crises)",Revenue at Risk,% of annual revenue,Enterprise Value at Risk,% of market cap/valuation,,,
ENABLERS,Brand,Q2,Brand Differentiation Strength,Risk Scale 1-5,"1=Strong Differentiation (Unique, well-protected brand), 2=Good Differentiation (Clear positioning), 3=Moderate Differentiation (Some differentiation but vulnerable), 4=Weak Differentiation (Commoditized brand), 5=No Differentiation (Undifferentiated brand, high substitution risk)",Revenue at Risk,% of annual revenue,Market Share at Risk,Percentage points,,,
ENABLERS,Brand,Q3,Brand Consistency & Quality Control,Risk Scale 1-5,"1=Highly Consistent (Excellent quality control), 2=Mostly Consistent (Good controls, minor variations), 3=Somewhat Inconsistent (Quality varies), 4=Inconsistent (Frequent quality issues), 5=Very Inconsistent (Major quality problems)",Revenue at Risk,% of annual revenue,Customer Retention at Risk,% of customer base,,,
ENABLERS,Culture,Q4,Employee Engagement & Retention,Risk Scale 1-5,"1=Minimal Risk (>80% engagement, <10% turnover), 2=Low Risk (60-80% engagement, 10-15% turnover), 3=Moderate Risk (40-60% engagement, 15-25% turnover), 4=High Risk (<40% engagement, 25-40% turnover), 5=Critical Risk (Very low engagement, >40% turnover)",Productivity Time at Risk,FTE days lost per year,Opex at Risk (recruitment/training),Currency amount,Revenue at Risk,% of annual revenue
ENABLERS,Culture,Q5,Leadership Succession & Depth,Risk Scale 1-5,"1=Minimal Risk (Strong bench strength, clear succession plans), 2=Low Risk (Good succession planning), 3=Moderate Risk (Limited succession planning), 4=High Risk (Weak succession plans), 5=Critical Risk (No succession plans, critical dependency)",Productivity Time at Risk,FTE days lost,Revenue at Risk,% of annual revenue,Strategic Projects at Risk,Number of initiatives
ENABLERS,Culture,Q6,Cultural Adaptability & Change Readiness,Risk Scale 1-5,"1=Highly Adaptive (Culture embraces change), 2=Mostly Adaptive (Generally supports change), 3=Moderately Adaptive (Mixed response to change), 4=Resistant (Culture resists change), 5=Highly Resistant (Strong resistance, inability to adapt)",Stratex at Risk,% of strategic investments,Time to Market Delay,Months,Revenue Opportunity Loss,Currency amount
ENABLERS,Culture,Q7,Ethics & Compliance Culture,Risk Scale 1-5,"1=Minimal Risk (Strong ethical culture), 2=Low Risk (Good ethics, regular training), 3=Moderate Risk (Average ethical awareness), 4=High Risk (Weak ethical culture), 5=Critical Risk (Poor ethics, major violations)",Regulatory Fines at Risk,Currency amount,Reputation at Risk,Impact level (1-5),Enterprise Value at Risk,% of valuation
ENABLERS,Technology,Q8,Technology Infrastructure Resilience,Risk Scale 1-5,"1=Highly Resilient (Redundant systems, 99.99% uptime), 2=Resilient (Good redundancy, 99.9% uptime), 3=Moderately Resilient (Some redundancy, 99% uptime), 4=Low Resilience (Limited redundancy, <99% uptime), 5=Not Resilient (No redundancy, frequent outages)",Service Availability at Risk,Hours per year,Revenue at Risk,Currency amount per hour downtime,Customer Churn Risk,% of customer base
ENABLERS,Technology,Q9,Cybersecurity Posture,Risk Scale 1-5,"1=Minimal Risk (Mature security program, zero trust), 2=Low Risk (Strong security controls), 3=Moderate Risk (Basic security, some vulnerabilities), 4=High Risk (Weak security, known vulnerabilities), 5=Critical Risk (No security program, past breaches)",Revenue at Risk,Currency amount,Data/IP at Risk,Value of data/IP,Regulatory Fines at Risk,Currency amount
ENABLERS,Technology,Q10,Technology Debt & Modernization,Risk Scale 1-5,"1=Minimal Risk (Modern stack, minimal tech debt), 2=Low Risk (Mostly modern, manageable tech debt), 3=Moderate Risk (Mix of old/new, growing tech debt), 4=High Risk (Significant legacy systems), 5=Critical Risk (Heavily outdated systems, no modernization plan)",Capex at Risk,Unplanned modernization costs,Productivity Time at Risk,FTE days lost to system issues,Service Availability at Risk,Hours of potential downtime
ENABLERS,People,Q11,Critical Skills Availability,Risk Scale 1-5,"1=Minimal Risk (All critical skills available), 2=Low Risk (Most skills available), 3=Moderate Risk (Notable skill gaps), 4=High Risk (Significant skill shortages), 5=Critical Risk (Critical skill gaps, unable to recruit)",Productivity Time at Risk,FTE days lost,Stratex at Risk,% of strategic projects delayed,Revenue at Risk,% due to inability to deliver
ENABLERS,People,Q12,Workforce Productivity & Performance,Risk Scale 1-5,"1=Minimal Risk (High productivity, strong performance management), 2=Low Risk (Good productivity), 3=Moderate Risk (Average productivity), 4=High Risk (Low productivity), 5=Critical Risk (Very low productivity)",Productivity Time at Risk,FTE days lost per year,Revenue at Risk,% of annual revenue,Opex at Risk,Currency (inefficiency costs)
ENABLERS,People,Q13,Workforce Health Safety & Wellbeing,Risk Scale 1-5,"1=Minimal Risk (Excellent H&S record), 2=Low Risk (Good H&S, minor incidents), 3=Moderate Risk (Average H&S, some incidents), 4=High Risk (Poor H&S record), 5=Critical Risk (Major H&S issues, regulatory violations)",Productivity Time at Risk,FTE days lost (sick leave/injuries),Opex at Risk,Currency (insurance/claims/fines),Reputation at Risk,Impact level (1-5)
