Section,Dimension,Question ID,Sub-Question,Question Text,Data Type,Response Options,Unit,Impact Metric 1,Impact Metric 2,Impact Metric 3,Notes
Company Registration,N/A,Q1,,,Company Legal Name,Text Input,,,,,,
Company Registration,N/A,Q2,,,Trading Name (if different),Text Input (Optional),,,,,,
Company Registration,N/A,Q3,,,Industry,Dropdown,Primary industry classification,,,,,
Company Registration,N/A,Q4,,,Company Website,URL Input,,,,,,
Company Registration,N/A,Q5,,,Headquarters Country,Dropdown,Country list,,,,,
Company Registration,N/A,Q6,,,Year Established,Year Selector,,,,,,
Company Registration,N/A,Q7,,,Public/Private Status,Multiple Choice,"Public (Listed), Private, Government/Non-profit",,,,,
Company Registration,N/A,Q8,,,Stock Exchange & Ticker,Text Input (Conditional),If public company,,,,,
Company Registration,N/A,Q9,,,Primary Business Model,Dropdown,"Transaction/Sales, Fee-for-Service, Subscription/Recurring, B2B Sales/Wholesale, Manufacturing/Production, Platform/Marketplace, Advertising, Franchise, Freemium, Licensing/IP",,,,,
Company Registration,N/A,Q10,,,Secondary Business Models,Multi-Select (Max 2),Same as Q9,,,,,
Company Registration,N/A,Q11,a,Revenue Mix - Primary Model,Numeric Input,,%,,,,"Enter % of revenue from each business model"
Company Registration,N/A,Q11,b,Revenue Mix - Secondary Model 1,Numeric Input,,%,,,,
Company Registration,N/A,Q11,c,Revenue Mix - Secondary Model 2,Numeric Input,,%,,,,
Company Registration,N/A,Q12,a,Total Annual Revenue - Exact,Currency + Numeric,,"Currency Amount",,,,"Exact amount or select range in Q12b"
Company Registration,N/A,Q12,b,Total Annual Revenue - Range,Range Selection,"Under $1M, $1M-$10M, $10M-$50M, $50M-$100M, $100M-$500M, $500M-$1B, $1B-$10B, Over $10B",,,,,
Company Registration,N/A,Q13,a,Total Employees - Exact,Numeric Input,,Number of FTEs,,,,"Exact number or select range in Q13b"
Company Registration,N/A,Q13,b,Total Employees - Range,Range Selection,"1-10, 11-50, 51-200, 201-500, 501-1000, 1001-5000, 5001-10000, Over 10000",,,,,
Company Registration,N/A,Q14,a,Annual EBITDA - Exact,Currency + Numeric (can be negative),,"Currency Amount",,,,
Company Registration,N/A,Q14,b,Annual EBITDA - Range,Range Selection,"Negative, $0-$1M, $1M-$10M, $10M-$50M, $50M-$100M, $100M-$500M, Over $500M",,,,,
Company Registration,N/A,Q15,,,EBITDA Margin,Numeric Input,,%,,,,Calculated or entered
Company Registration,N/A,Q16,a,Number of Countries - Exact,Numeric Input,,Number,,,,
Company Registration,N/A,Q16,b,Number of Countries - Range,Range Selection,"1, 2-5, 6-10, 11-25, 26-50, Over 50",,,,,
Company Registration,N/A,Q17,a,Annual Operating Expenses (Opex) - Total,Currency + Numeric,,"Currency Amount",,,,
Company Registration,N/A,Q17,b,Opex Breakdown - Personnel,Numeric Input,,% or Currency,,,,Optional breakdown
Company Registration,N/A,Q17,c,Opex Breakdown - Technology/IT,Numeric Input,,% or Currency,,,,
Company Registration,N/A,Q17,d,Opex Breakdown - Facilities,Numeric Input,,% or Currency,,,,
Company Registration,N/A,Q17,e,Opex Breakdown - Other,Numeric Input,,% or Currency,,,,
Company Registration,N/A,Q18,a,Annual Capital Expenditure (Capex) - Total,Currency + Numeric,,"Currency Amount",,,,
Company Registration,N/A,Q18,b,Capex - Planned vs Unplanned,Numeric Input,,"% Planned, % Unplanned",,,,
Company Registration,N/A,Q19,a,Annual Strategic Expenditure (Stratex) - Total,Currency + Numeric,,"Currency Amount",,,,
Company Registration,N/A,Q19,b,R&D Spend as % of Revenue,Numeric Input,,%,,,,
Company Registration,N/A,Q20,a,Market Cap/Enterprise Valuation,Currency + Numeric (Optional),,"Currency Amount",,,,
Company Registration,N/A,Q20,b,Valuation Date,Date Input,,Date,,,,
Company Registration,N/A,Q20,c,Valuation Method (Private Co),Dropdown,"Most recent funding round, Independent valuation, Management estimate, Not available",,,,,For private companies only
ENABLERS,Brand,Q1,a,Net Promoter Score (NPS),Numeric Input,,"Score (-100 to +100)",,,,Or use fallback scale if not measured
ENABLERS,Brand,Q1,a-alt,Brand Loyalty Rating (if NPS not measured),Scale 1-5,"1=Very High, 2=High, 3=Moderate, 4=Low, 5=Very Low",,,,,"Fallback if NPS not available"
ENABLERS,Brand,Q1,b,Brand Reputation - Negative Incidents,Numeric Input,,Number (past 12 months),,,,"Count of significant negative incidents"
ENABLERS,Brand,Q1,c,Brand Reputation - Media Crises,Numeric Input,,Number (past 12 months),,,,
ENABLERS,Brand,Q1,d,Social Media Sentiment,Numeric Input,,% Positive,,,,"If tracked, otherwise N/A"
ENABLERS,Brand,Q1,e,Revenue Loss if Brand Damaged,Numeric Input,,% of Annual Revenue,Revenue at Risk,,,Financial impact estimate
ENABLERS,Brand,Q1,f,Enterprise Value Impact,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
ENABLERS,Brand,Q2,a,Market Share - Current,Numeric Input,,%,,,,
ENABLERS,Brand,Q2,b,Market Share Trend,Multiple Choice,"Gaining, Stable, Declining",,,,,
ENABLERS,Brand,Q2,c,Market Share Decline Rate (if declining),Numeric Input,,% per Year,,,,
ENABLERS,Brand,Q2,d,Market Rank,Text or Dropdown,"#1, #2, #3, Top 3, Top 10, Mid-tier, Niche, Emerging",,,,,"Position in primary market"
ENABLERS,Brand,Q2,e,Number of Similar Competitors,Numeric Input,,Number,,,,Direct competitors with similar value prop
ENABLERS,Brand,Q2,f,Price Premium vs Competitors,Numeric Input,,+/- %,,,,"Positive = premium, negative = discount"
ENABLERS,Brand,Q2,g,Number of Unique Features,Numeric Input,,Number,,,,Proprietary/unique features
ENABLERS,Brand,Q2,h,Revenue at Risk from Lost Position,Numeric Input,,% of Annual Revenue,Revenue at Risk,,,
ENABLERS,Brand,Q2,i,Market Share Loss Worst Case,Numeric Input,,Percentage Points,,Market Share at Risk,,
ENABLERS,Brand,Q3,a,Customer Satisfaction (CSAT) Score,Numeric Input,,"%, /10, or /5",,,,Or use fallback scale
ENABLERS,Brand,Q3,a-alt,Customer Satisfaction Rating (if not measured),Scale 1-5,"1=Very Satisfied, 2=Satisfied, 3=Neutral, 4=Dissatisfied, 5=Very Dissatisfied",,,,,Fallback if CSAT not measured
ENABLERS,Brand,Q3,b,Complaints - Unmet Expectations,Numeric Input,,%,,,,% of customer complaints related to unmet expectations
ENABLERS,Brand,Q3,c,Average Complaint Resolution Time,Numeric Input,,Hours or Days,,,,
ENABLERS,Brand,Q3,d,Repeat Customer Rate,Numeric Input,,%,,,,
ENABLERS,Brand,Q3,e,Customer Churn Rate (Annual),Numeric Input,,%,,,,
ENABLERS,Brand,Q3,f,Average Customer Lifetime,Numeric Input,,Months,,,,
ENABLERS,Brand,Q3,g,Customer Acquisition Cost (CAC),Currency + Numeric,,"Currency Amount",,,,
ENABLERS,Brand,Q3,h,Customer Lifetime Value (LTV),Currency + Numeric,,"Currency Amount",,,,
ENABLERS,Brand,Q3,i,LTV/CAC Ratio,Numeric Input,,Ratio,,,,Calculated or entered
ENABLERS,Brand,Q3,j,Revenue at Risk from Quality Issues,Numeric Input,,% of Annual Revenue,Revenue at Risk,,,
ENABLERS,Brand,Q3,k,Customer Base at Risk,Numeric Input,,% of Total Customers,,Customer Churn Risk,,
ENABLERS,Culture,Q4,a,Employee Engagement Survey Score,Numeric Input,,%,,,,Latest survey score
ENABLERS,Culture,Q4,b,Survey Participation Rate,Numeric Input,,%,,,,
ENABLERS,Culture,Q4,a-alt,Employee Engagement Rating (if not measured),Scale 1-5,"1=Very High (>80%), 2=High (60-80%), 3=Moderate (40-60%), 4=Low (20-40%), 5=Very Low (<20%)",,,,,Fallback if not measured
ENABLERS,Culture,Q4,c,Annual Employee Turnover Rate,Numeric Input,,%,,,,Total turnover
ENABLERS,Culture,Q4,d,Voluntary Turnover Rate,Numeric Input,,%,,,,
ENABLERS,Culture,Q4,e,Involuntary Turnover Rate,Numeric Input,,%,,,,
ENABLERS,Culture,Q4,f,High Performer Turnover Rate,Numeric Input,,%,,,,
ENABLERS,Culture,Q4,g,Cost to Replace Employee,Currency or Numeric,,"Currency or % of Salary",,,,
ENABLERS,Culture,Q4,h,Average Time to Fill Critical Roles,Numeric Input,,Days,,,,
ENABLERS,Culture,Q4,i,% Critical Positions with Succession Plan,Numeric Input,,%,,,,
ENABLERS,Culture,Q4,j,Unfilled Critical Positions,Numeric Input,,Number,,,,Current vacancies
ENABLERS,Culture,Q4,k,Productivity Time Lost to Turnover,Numeric Input,,FTE Days per Year,Productivity Time at Risk,,,Financial impact
ENABLERS,Culture,Q4,l,Annual Recruitment/Training Costs,Currency + Numeric,,"Currency Amount",,Opex at Risk,,
ENABLERS,Culture,Q4,m,Revenue Impact from Talent Gaps,Numeric Input,,% of Annual Revenue,,Revenue at Risk,,
ENABLERS,Culture,Q5,a,Number of C-Suite Positions,Numeric Input,,Number,,,,
ENABLERS,Culture,Q5,b,C-Suite Positions with Successors,Numeric Input,,Number,,,,
ENABLERS,Culture,Q5,c,Average C-Suite Tenure,Numeric Input,,Years,,,,
ENABLERS,Culture,Q5,d,C-Suite Departures (Past 2 Years),Numeric Input,,Number,,,,
ENABLERS,Culture,Q5,e,Revenue Dependent on Individuals,Numeric Input,,% of Total Revenue,,,,Key person dependency
ENABLERS,Culture,Q5,f,Single Points of Failure (People),Numeric Input,,Number,,,,
ENABLERS,Culture,Q5,g,Average Executive Notice Period,Numeric Input,,Months,,,,
ENABLERS,Culture,Q5,h,Leadership Effectiveness Score,Numeric Input,,% or /10,,,,"If measured, otherwise use scale"
ENABLERS,Culture,Q5,h-alt,Leadership Quality Rating,Scale 1-5,"1=Excellent, 2=Good, 3=Adequate, 4=Weak, 5=Poor",,,,,Fallback if not measured
ENABLERS,Culture,Q5,i,Productivity Time Lost if Leader Departs,Numeric Input,,FTE Days,Productivity Time at Risk,,,Financial impact
ENABLERS,Culture,Q5,j,Revenue at Risk from Leadership Gap,Numeric Input,,% of Annual Revenue,,Revenue at Risk,,
ENABLERS,Culture,Q5,k,Strategic Initiatives at Risk,Numeric Input,,Number of Initiatives,,,,
ENABLERS,Culture,Q6,a,Change Initiative Success Rate (Past 2 Years),Numeric Input,,%,,,,% completed successfully
ENABLERS,Culture,Q6,b,Average Time to Implement Major Changes,Numeric Input,,Months,,,,
ENABLERS,Culture,Q6,c,Failed Change Initiatives (Past 2 Years),Numeric Input,,Number,,,,
ENABLERS,Culture,Q6,d,% Employees Who Submitted Ideas (Past Year),Numeric Input,,%,,,,Innovation culture indicator
ENABLERS,Culture,Q6,e,% Revenue from Products <3 Years Old,Numeric Input,,%,,,,
ENABLERS,Culture,Q6,f,Employee-Driven Improvements Implemented,Numeric Input,,Number,,,,
ENABLERS,Culture,Q6,g,Training Investment per Employee per Year,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,Culture,Q6,h,Training Hours per Employee per Year,Numeric Input,,Hours,,,,
ENABLERS,Culture,Q6,i,% Employees Completed Required Training,Numeric Input,,%,,,,
ENABLERS,Culture,Q6,j,Stratex at Risk from Change Failures,Numeric Input,,% of Transformation Budget,Stratex at Risk,,,Financial impact
ENABLERS,Culture,Q6,k,Delay in Realizing Benefits,Numeric Input,,Months,,,,
ENABLERS,Culture,Q6,l,Revenue Opportunity Loss,Currency + Numeric,,"Currency Amount",,Revenue at Risk,,
ENABLERS,Culture,Q7,a,Compliance Violations (Past 12 Months),Numeric Input,,Number,,,,
ENABLERS,Culture,Q7,b,Ethics Hotline Reports,Numeric Input,,Number,,,,
ENABLERS,Culture,Q7,c,% Hotline Reports Substantiated,Numeric Input,,%,,,,
ENABLERS,Culture,Q7,d,% Employees Completed Ethics Training,Numeric Input,,%,,,,
ENABLERS,Culture,Q7,e,Regulatory Investigations (Active),Numeric Input,,Number,,,,
ENABLERS,Culture,Q7,f,Regulatory Fines (Past 3 Years) - Count,Numeric Input,,Number,,,,
ENABLERS,Culture,Q7,g,Regulatory Fines (Past 3 Years) - Total,Currency + Numeric,,"Currency Amount",,,,
ENABLERS,Culture,Q7,h,Ethical Culture Strength Rating,Scale 1-5,"1=Very Strong (zero tolerance, proactive), 2=Strong (clear policies), 3=Moderate (basic compliance), 4=Weak (frequent issues), 5=Very Weak (major violations)",,,,,"Use scale as this is inherently qualitative"
ENABLERS,Culture,Q7,i,Regulatory Fines at Risk (Potential),Currency + Numeric,,"Currency Amount",Regulatory Fines at Risk,,,Financial impact
ENABLERS,Culture,Q7,j,Reputation Impact Level,Scale 1-5,1-5 scale,,Reputation at Risk,,,
ENABLERS,Culture,Q7,k,Enterprise Value at Risk,Numeric Input,,% of Valuation,,Enterprise Value at Risk,,
ENABLERS,Technology,Q8,a,Actual System Uptime (Past 12 Months),Numeric Input,,%,,,,"e.g., 99.9%"
ENABLERS,Technology,Q8,b,Unplanned Outages (Past 12 Months),Numeric Input,,Number,,,,
ENABLERS,Technology,Q8,c,Total Hours Unplanned Downtime (Past 12 Months),Numeric Input,,Hours,,,,
ENABLERS,Technology,Q8,d,Mean Time to Restore (MTTR),Numeric Input,,Hours,,,,
ENABLERS,Technology,Q8,e,Longest Single Outage Duration,Numeric Input,,Hours,,,,
ENABLERS,Technology,Q8,f,Recovery Time Objective (RTO),Numeric Input,,Hours,,,,
ENABLERS,Technology,Q8,g,Recovery Point Objective (RPO),Numeric Input,,Hours or Minutes,,,,
ENABLERS,Technology,Q8,h,Last DR Test Date,Date Input,,Date,,,,
ENABLERS,Technology,Q8,i,DR Test Success Rate,Numeric Input,,%,,,,
ENABLERS,Technology,Q8,j,Geographic Redundancy,Multiple Choice,"Yes, No, Partial",,,,,
ENABLERS,Technology,Q8,k,% Infrastructure <3 Years Old,Numeric Input,,%,,,,
ENABLERS,Technology,Q8,l,% Infrastructure 3-7 Years Old,Numeric Input,,%,,,,
ENABLERS,Technology,Q8,m,% Infrastructure >7 Years Old,Numeric Input,,%,,,,
ENABLERS,Technology,Q8,n,End-of-Life/Unsupported Systems,Numeric Input,,Number,,,,
