Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Unit,Risk_Metrics_Influenced
Company Registration,N/A,N/A,REG-001,Business Name,Business Name,Text,Free text,N/A
Company Registration,N/A,N/A,REG-002,Business Size,Business Size (FTEs),Number,Integer,All metrics
Company Registration,N/A,N/A,REG-003,Annual Revenue,Annual Revenue,Currency,Currency amount,Revenue at Risk
Company Registration,N/A,N/A,REG-004,Industry Sector,Industry Sector,Dropdown,GICS classification,All metrics
Company Registration,N/A,N/A,REG-005,Headquarter Country,Headquarter Country,Dropdown,Country list,All metrics
Company Registration,N/A,N/A,REG-006,Operational Regions,Operational Regions (tick all that apply),Multi-select,"Europe|North America|South America|Asia|Oceania|Africa",All metrics
Company Registration,N/A,N/A,REG-007,IT Infrastructure,IT Infrastructure Profile,Single select,"Cloud|On-Premises|Hybrid",Service Availability at Risk
Company Registration,N/A,N/A,REG-008,Business Model,Business Model,Dropdown,"Transaction/Sales|Fee-for-Service|Subscription/Recurring|B2B/Wholesale|Manufacturing/Production|Platform/Marketplace|Advertising|Franchise|Freemium|Licensing/IP",All metrics
Risk Assessment,Economics,Financials,FIN-001,Revenue at Risk,Revenue at Risk (% of annual revenue),Percentage,%,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FIN-002,Loss Tolerance Per Event,Loss Tolerance per event,Currency,$,"Opex at Risk, Capex at Risk"
Risk Assessment,Economics,Financials,FIN-003,Cash Reserve Cover,Cash Reserve Cover (months of Opex),Number,Months,"Opex at Risk, Capex at Risk"
Risk Assessment,Economics,Business Model,BM-001,Revenue Concentration,Revenue Concentration (% from largest customer/segment),Percentage,%,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BM-002,Fixed Cost Share,Fixed Cost Share (% of total costs),Percentage,%,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BM-003,Major Revenue Streams,Major Revenue Streams (# contributing >10% each),Number,Count,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXT-001,Countries of Operation,Countries of Operation (#),Number,Count,"Opex at Risk, Complexity"
Risk Assessment,Economics,External Environment,EXT-002,Compliance Cost Last Year,Compliance Cost Last Year (% of revenue),Percentage,%,"Opex at Risk, Capex at Risk"
Risk Assessment,Economics,External Environment,EXT-003,Downturn Impact Scenario,Downturn Impact Scenario (% revenue drop),Percentage,%,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOV-001,Governance/Control Incidents,Governance/Control Incidents Last Year (#),Number,Count,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOV-002,Regulatory Fines,Regulatory Fines Last Year (#),Number,Count,"Opex at Risk, Reputation at Risk"
Risk Assessment,Economics,Governance,GOV-003,Decision Reversals,Decision Reversals due to oversight issues (%),Percentage,%,"Stratex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Brand,BRD-001,Major PR Incidents,Major PR Incidents Last Year (#),Number,Count,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Enablers,Brand,BRD-002,Customer Loss in Scandal,Customer Loss in serious scandal (%),Percentage,%,"Revenue at Risk, Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRD-003,Brand Mgmt Investment,Brand Mgmt Investment (% of marketing/PR),Percentage,%,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Enablers,Culture,CUL-001,Employee Turnover Rate,Employee Turnover Rate (%),Percentage,%,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Culture,CUL-002,Ethics/Misconduct Reports,Ethics/Misconduct Reports (#),Number,Count,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CUL-003,Training Participation,Training Participation (% of employees),Percentage,%,"Productivity Time at Risk, Risk Management Quality"
Risk Assessment,Enablers,People,PPL-001,Vacancy/Hard-to-Fill Rate,Vacancy/Hard-to-Fill Rate (%),Percentage,%,"Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,People,PPL-002,Succession Gaps,Succession Gaps (key roles without successor) (#),Number,Count,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PPL-003,Voluntary Turnover,Voluntary Turnover (%),Percentage,%,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Technology,TECH-001,Annual IT Downtime,Annual IT Downtime (hours),Number,Hours,"Service Availability at Risk, Productivity Time at Risk"
Risk Assessment,Enablers,Technology,TECH-002,Critical System RTO Target,Critical System RTO Target (hours),Number,Hours,"Service Availability at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-003,Cyber Incidents,Significant Cyber Incidents Last Year (#),Number,Count,"Opex at Risk, Capex at Risk, Reputation at Risk"
Risk Assessment,Enablers,Third Parties,TP-001,Top Supplier Spend Concentration,Top Supplier Spend Concentration (%),Percentage,%,"Opex at Risk, Service Availability at Risk"
