Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Unit,Region_Specific,Risk_Metrics_Influenced
Company Registration,N/A,N/A,REG-001,Business Name,Business Name,Text,Free text,No,N/A
Company Registration,N/A,N/A,REG-002,Business Size,Business Size (FTEs),Number,Integer,No,All metrics
Company Registration,N/A,N/A,REG-003,Annual Revenue,Annual Revenue,Currency,Currency amount,No,Revenue at Risk
Company Registration,N/A,N/A,REG-004,Industry Sector,Industry Sector,Dropdown,GICS classification,No,All metrics
Company Registration,N/A,N/A,REG-005,Headquarter Country,Headquarter Country,Dropdown,Country list,No,All metrics
Company Registration,N/A,N/A,REG-006,Operational Regions,Operational Regions (tick all that apply),Multi-select,"Europe|North America|South America|Asia|Oceania|Africa",No,All metrics
Company Registration,N/A,N/A,REG-007,IT Infrastructure,IT Infrastructure Profile,Single select,"Cloud|On-Premises|Hybrid",No,Service Availability at Risk
Company Registration,N/A,N/A,REG-008,Business Model,Business Model,Dropdown,"Transaction/Sales|Fee-for-Service|Subscription/Recurring|B2B/Wholesale|Manufacturing/Production|Platform/Marketplace|Advertising|Franchise|Freemium|Licensing/IP",No,All metrics
Risk Assessment,Economics,Financials,FIN-001,Revenue at Risk,Revenue at Risk (% of annual revenue) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FIN-002,Loss Tolerance Per Event,Loss Tolerance per event [Provide value for each selected region],Currency,$,Yes,"Opex at Risk, Capex at Risk"
Risk Assessment,Economics,Financials,FIN-003,Cash Reserve Cover,Cash Reserve Cover (months of Opex) [Provide value for each selected region],Number,Months,Yes,"Opex at Risk, Capex at Risk"
Risk Assessment,Economics,Business Model,BM-001,Revenue Concentration,Revenue Concentration (% from largest customer/segment) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BM-002,Fixed Cost Share,Fixed Cost Share (% of total costs) [Provide value for each selected region],Percentage,%,Yes,"Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BM-003,Major Revenue Streams,Major Revenue Streams (# contributing >10% each) [Provide value for each selected region],Number,Count,Yes,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXT-001,Countries of Operation,Countries of Operation (#) [Provide value for each selected region],Number,Count,Yes,"Opex at Risk, Complexity"
Risk Assessment,Economics,External Environment,EXT-002,Compliance Cost Last Year,Compliance Cost Last Year (% of revenue) [Provide value for each selected region],Percentage,%,Yes,"Opex at Risk, Capex at Risk"
Risk Assessment,Economics,External Environment,EXT-003,Downturn Impact Scenario,Downturn Impact Scenario (% revenue drop) [Provide value for each selected region],Percentage,%,Yes,"Revenue at Risk, Enterprise Value at Risk"
