Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Options,Business_Model_Specific,Geography_Specific,Risk_Metrics_Influenced
Company Registration,N/A,N/A,REG-001,Company Name,What is your company name?,Text,Free text,No,No,N/A
Company Registration,N/A,N/A,REG-002,Industry,What industry does your company operate in?,Dropdown,GICS classification,No,No,N/A
Company Registration,N/A,N/A,REG-003,Company Size,What is your company size?,Single Select,"Micro (1-10 employees)|Small (11-50 employees)|Medium (51-250 employees)|Large (251-1000 employees)|Enterprise (1000+ employees)",No,No,N/A
Company Registration,N/A,N/A,REG-004,Primary Business Model,What is your primary business model?,Dropdown,"Transaction/Sales|Fee-for-Service|Subscription/Recurring Revenue|B2B Sales/Wholesale|Manufacturing/Production|Platform/Marketplace|Advertising/Media|Franchise|Freemium|Licensing/IP",No,No,N/A
Company Registration,N/A,N/A,REG-005,Headquarters Country,In which country is your company headquartered?,Dropdown,All countries list,No,Yes,N/A
Company Registration,N/A,N/A,REG-006,Headquarters Region,What region is your headquarters in?,Auto-populated,"Europe|North America|South America|Asia|Oceania|Africa",No,Yes,N/A
Company Registration,N/A,N/A,REG-007,Operational Regions,In which regions do you operate?,Multi Select,"Europe|North America|South America|Asia|Oceania|Africa",No,Yes,N/A
Company Registration,N/A,N/A,REG-008,Primary IT Infrastructure,What is your primary IT infrastructure?,Single Select,"On-premises|Cloud-based|Hybrid|Managed by third party",No,No,Technology Reliability
Company Registration,N/A,N/A,REG-009,Critical Systems Count,How many critical systems does your organization have?,Number,Integer,No,No,Service Availability at Risk
Company Registration,N/A,N/A,REG-010,IT Team Size,How many people are on your IT team?,Number,Integer,No,No,Productivity Time at Risk
Risk Assessment,Enablers,Brand,BRAND-001,Brand Awareness Risk,How vulnerable is your organization to low brand recognition in your target markets?,Scale 1-5,"1 - Very Low Risk|2 - Low Risk|3 - Medium Risk|4 - High Risk|5 - Very High Risk",No,No,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Enablers,Brand,BRAND-002,Brand Reputation Risk,How exposed is your brand to reputational damage from negative events?,Scale 1-5,"1 - Very Low Risk|2 - Low Risk|3 - Medium Risk|4 - High Risk|5 - Very High Risk",No,No,"Reputation at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRAND-003,Brand Differentiation Risk,How vulnerable is your brand to being perceived as indistinguishable from competitors?,Scale 1-5,"1 - Very Low Risk (Highly differentiated unique positioning)|2 - Low Risk (Well differentiated clear unique value)|3 - Medium Risk (Some differentiation not always clear)|4 - High Risk (Limited differentiation similar to competitors)|5 - Very High Risk (No differentiation commodity status)",No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRAND-004,Brand Consistency Risk,How exposed is your organization to inconsistent brand experience across touchpoints?,Scale 1-5,"1 - Very Low Risk (Perfectly consistent strong brand guidelines)|2 - Low Risk (Mostly consistent minor variations)|3 - Medium Risk (Moderately consistent some gaps)|4 - High Risk (Inconsistent confusing experience)|5 - Very High Risk (Highly inconsistent no brand standards)",Yes - Franchise models especially,No,"Reputation at Risk, Revenue at Risk"
Risk Assessment,Enablers,Culture,CULTURE-001,Employee Engagement Risk,How vulnerable is your organization to low employee engagement and motivation?,Scale 1-5,"1 - Very Low Risk|2 - Low Risk|3 - Medium Risk|4 - High Risk|5 - Very High Risk",No,No,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,Culture,CULTURE-002,Culture-Strategy Alignment Risk,How misaligned is your organizational culture with your strategic objectives?,Scale 1-5,"1 - Very Low Risk|2 - Low Risk|3 - Medium Risk|4 - High Risk|5 - Very High Risk",No,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CULTURE-003,Leadership Effectiveness Risk,How vulnerable is your organization to ineffective leadership?,Scale 1-5,"1 - Very Low Risk (Exceptional leaders high trust)|2 - Low Risk (Effective leaders good trust)|3 - Medium Risk (Adequate leadership moderate trust)|4 - High Risk (Weak leadership low trust)|5 - Very High Risk (Poor leadership no trust)",No,No,"Productivity Time at Risk, Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CULTURE-004,Organizational Agility Risk,How exposed is your organization to inability to adapt quickly?,Scale 1-5,"1 - Very Low Risk (Highly agile rapid adaptation)|2 - Low Risk (Agile good adaptation capability)|3 - Medium Risk (Moderately agile some bureaucracy)|4 - High Risk (Slow significant bureaucracy)|5 - Very High Risk (Rigid unable to adapt)",No,No,"Stratex at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Technology,TECH-001,Technology Reliability Risk,How vulnerable is your organization to technology failures and downtime?,Scale 1-5,"1 - Very Low Risk|2 - Low Risk|3 - Medium Risk|4 - High Risk|5 - Very High Risk",No,No,"Service Availability at Risk, Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-002,Cybersecurity Posture Risk,How exposed is your organization to cyber threats and data breaches?,Scale 1-5,"1 - Very Low Risk|2 - Low Risk|3 - Medium Risk|4 - High Risk|5 - Very High Risk",No,No,"Opex at Risk, Capex at Risk, Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Technology,TECH-003,Technical Debt Risk,How vulnerable is your organization to accumulated technical debt?,Scale 1-5,"1 - Very Low Risk (Minimal debt modern architecture)|2 - Low Risk (Limited debt manageable)|3 - Medium Risk (Moderate debt some legacy systems)|4 - High Risk (Significant debt aging systems)|5 - Very High Risk (Critical debt obsolete systems)",Yes - Tech/SaaS models,No,"Capex at Risk, Opex at Risk, Service Availability at Risk"
Risk Assessment,Enablers,Technology,TECH-004,Technology Innovation Capability Risk,How exposed is your organization to inability to adopt new technologies?,Scale 1-5,"1 - Very Low Risk (Cutting-edge adopter innovation leader)|2 - Low Risk (Early adopter good innovation)|3 - Medium Risk (Mainstream adopter moderate innovation)|4 - High Risk (Late adopter limited innovation)|5 - Very High Risk (Laggard no innovation capability)",Yes - Tech-dependent industries,No,"Stratex at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-001,Key Person Dependency Risk,How vulnerable is your organization to the loss of key individuals?,Scale 1-5,"1 - Very Low Risk|2 - Low Risk|3 - Medium Risk|4 - High Risk|5 - Very High Risk",No,No,"Productivity Time at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-002,Talent Retention Risk,How vulnerable is your organization to losing critical talent?,Scale 1-5,"1 - Very Low Risk|2 - Low Risk|3 - Medium Risk|4 - High Risk|5 - Very High Risk",No,No,"Opex at Risk, Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,People,PEOPLE-003,Skills Gap Risk,How vulnerable is your organization to critical skills shortages?,Scale 1-5,"1 - Very Low Risk (No gaps comprehensive skills)|2 - Low Risk (Minor gaps mostly covered)|3 - Medium Risk (Some gaps hiring/training needed)|4 - High Risk (Significant gaps limiting capability)|5 - Very High Risk (Critical gaps major capability issues)",Yes - Technical/Specialized roles,No,"Productivity Time at Risk, Revenue at Risk, Stratex at Risk"
Risk Assessment,Enablers,People,PEOPLE-004,Succession Planning Risk,How exposed is your organization to lack of succession plans?,Scale 1-5,"1 - Very Low Risk (Robust plans for all key roles)|2 - Low Risk (Good plans for most key roles)|3 - Medium Risk (Plans for some key roles)|4 - High Risk (Few plans major gaps)|5 - Very High Risk (No succession plans)",No,No,"Productivity Time at Risk, Enterprise Value at Risk"
