Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Options,Business_Model_Specific,Geography_Specific,Risk_Metrics_Influenced
Company Registration,N/A,N/A,REG-001,Company Name,What is your company name?,Text,Free text,No,No,N/A
Company Registration,N/A,N/A,REG-002,Industry,What industry does your company operate in?,Dropdown,GICS classification,No,No,N/A
Company Registration,N/A,N/A,REG-003,Company Size,What is your company size?,Single Select,"Micro (1-10 employees)|Small (11-50 employees)|Medium (51-250 employees)|Large (251-1000 employees)|Enterprise (1000+ employees)",No,No,N/A
Company Registration,N/A,N/A,REG-004,Primary Business Model,What is your primary business model?,Dropdown,"Transaction/Sales (Retail E-commerce)|Fee-for-Service (Consulting Professional Services)|Subscription/Recurring Revenue (SaaS Memberships)|B2B Sales/Wholesale|Manufacturing/Production|Platform/Marketplace|Advertising/Media|Franchise|Freemium|Licensing/IP",No,No,N/A
Company Registration,N/A,N/A,REG-005,Headquarters Country,In which country is your company headquartered?,Dropdown,All countries list,No,Yes,N/A
Company Registration,N/A,N/A,REG-006,Headquarters Region,What region is your headquarters in?,Auto-populated,"Europe|North America|South America|Asia|Oceania|Africa",No,Yes,N/A
Company Registration,N/A,N/A,REG-007,Operational Regions,In which regions do you operate?,Multi Select,"Europe|North America|South America|Asia|Oceania|Africa",No,Yes,N/A
Company Registration,N/A,N/A,REG-008,Primary IT Infrastructure,What is your primary IT infrastructure?,Single Select,"On-premises|Cloud-based|Hybrid|Managed by third party",No,No,Technology Reliability
Company Registration,N/A,N/A,REG-009,Critical Systems Count,How many critical systems does your organization have?,Number,Integer,No,No,Service Availability at Risk
Company Registration,N/A,N/A,REG-010,IT Team Size,How many people are on your IT team?,Number,Integer,No,No,Productivity Time at Risk
Risk Assessment,Enablers,Brand,BRAND-001,Brand Awareness Risk,How vulnerable is your organization to low brand recognition in your target markets?,Scale 1-5,"1 - Very Low Risk (Dominant brand recognition >80%)|2 - Low Risk (Strong recognition 60-80%)|3 - Medium Risk (Moderate recognition 40-60%)|4 - High Risk (Limited recognition 20-40%)|5 - Very High Risk (Minimal recognition <20%)",No,No,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Enablers,Brand,BRAND-002,Brand Reputation Risk,How exposed is your brand to reputational damage from negative events or customer experiences?,Scale 1-5,"1 - Very Low Risk (Excellent reputation management proactive monitoring)|2 - Low Risk (Good reputation systems regular monitoring)|3 - Medium Risk (Basic reputation management)|4 - High Risk (Limited reputation monitoring)|5 - Very High Risk (No reputation management recent crises)",No,No,"Reputation at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Culture,CULTURE-001,Employee Engagement Risk,How vulnerable is your organization to low employee engagement and motivation?,Scale 1-5,"1 - Very Low Risk (Highly engaged workforce >80% engagement)|2 - Low Risk (Engaged workforce 65-80% engagement)|3 - Medium Risk (Moderate engagement 50-65%)|4 - High Risk (Low engagement 35-50%)|5 - Very High Risk (Disengaged workforce <35%)",No,No,"Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,Culture,CULTURE-002,Culture-Strategy Alignment Risk,How misaligned is your organizational culture with your strategic objectives?,Scale 1-5,"1 - Very Low Risk (Perfect alignment culture drives strategy)|2 - Low Risk (Strong alignment minor gaps)|3 - Medium Risk (Moderate alignment some conflicts)|4 - High Risk (Poor alignment significant conflicts)|5 - Very High Risk (Complete misalignment culture blocks strategy)",No,No,"Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Technology,TECH-001,Technology Reliability Risk,How vulnerable is your organization to technology failures and downtime?,Scale 1-5,"1 - Very Low Risk (99.99%+ uptime redundant systems)|2 - Low Risk (99.9% uptime good backup systems)|3 - Medium Risk (99% uptime basic backups)|4 - High Risk (95-99% uptime frequent issues)|5 - Very High Risk (<95% uptime critical failures)",No,No,"Service Availability at Risk, Productivity Time at Risk, Opex at Risk"
Risk Assessment,Enablers,Technology,TECH-002,Cybersecurity Posture Risk,How exposed is your organization to cyber threats and data breaches?,Scale 1-5,"1 - Very Low Risk (Enterprise-grade security SOC 2/ISO 27001 certified)|2 - Low Risk (Strong security controls regular audits)|3 - Medium Risk (Basic security measures)|4 - High Risk (Minimal security known vulnerabilities)|5 - Very High Risk (No security program recent breaches)",No,No,"Opex at Risk, Capex at Risk, Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-001,Key Person Dependency Risk,How vulnerable is your organization to the loss of key individuals?,Scale 1-5,"1 - Very Low Risk (No single points of failure deep bench)|2 - Low Risk (Limited dependencies good succession plans)|3 - Medium Risk (Some key dependencies basic succession plans)|4 - High Risk (High dependencies on few individuals)|5 - Very High Risk (Critical dependencies no succession planning)",No,No,"Productivity Time at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,People,PEOPLE-002,Talent Retention Risk,How vulnerable is your organization to losing critical talent?,Scale 1-5,"1 - Very Low Risk (Retention >95% highly competitive packages)|2 - Low Risk (Retention 90-95% good packages)|3 - Medium Risk (Retention 80-90% market-rate packages)|4 - High Risk (Retention 70-80% below-market packages)|5 - Very High Risk (Retention <70% high turnover)",No,No,"Opex at Risk, Productivity Time at Risk, Revenue at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-001,Supplier Dependency Risk,How vulnerable is your organization to supplier failures or disruptions?,Scale 1-5,"1 - Very Low Risk (Diversified supplier base multiple alternatives)|2 - Low Risk (Multiple suppliers good alternatives)|3 - Medium Risk (Limited suppliers some alternatives)|4 - High Risk (Few suppliers limited alternatives)|5 - Very High Risk (Single suppliers for critical inputs)",Yes - Manufacturing/B2B/Production,No,"Opex at Risk, Product at Risk, Service Availability at Risk"
Risk Assessment,Enablers,Third Parties,THIRD-002,Third-Party Reliability Risk,How exposed is your organization to third-party service failures?,Scale 1-5,"1 - Very Low Risk (Enterprise SLAs proven reliability >99.9%)|2 - Low Risk (Strong SLAs good reliability 99-99.9%)|3 - Medium Risk (Standard SLAs moderate reliability 95-99%)|4 - High Risk (Weak SLAs frequent issues)|5 - Very High Risk (No SLAs unreliable partners)",Yes - All models relying on third parties,No,"Service Availability at Risk, Opex at Risk"
Risk Assessment,Execution,Processes,PROCESS-001,Process Efficiency Risk,How vulnerable is your organization to inefficient processes and waste?,Scale 1-5,"1 - Very Low Risk (Lean processes continuous improvement culture)|2 - Low Risk (Efficient processes regular optimization)|3 - Medium Risk (Adequate processes some inefficiencies)|4 - High Risk (Inefficient processes significant waste)|5 - Very High Risk (Highly inefficient no process management)",Yes - Manufacturing/Operations heavy,No,"Opex at Risk, Productivity Time at Risk"
Risk Assessment,Execution,Processes,PROCESS-002,Process Documentation Risk,How exposed is your organization to undocumented or unclear processes?,Scale 1-5,"1 - Very Low Risk (All critical processes documented and current)|2 - Low Risk (Most processes documented)|3 - Medium Risk (Some documentation gaps exist)|4 - High Risk (Minimal documentation tribal knowledge)|5 - Very High Risk (No documentation chaos)",No,No,"Productivity Time at Risk, Enterprise Value at Risk"
Risk Assessment,Execution,Change,CHANGE-001,Change Readiness Risk,How vulnerable is your organization to change initiatives failing due to lack of readiness?,Scale 1-5,"1 - Very Low Risk (High change maturity strong change culture)|2 - Low Risk (Good change readiness structured approach)|3 - Medium Risk (Moderate readiness some resistance)|4 - High Risk (Low readiness significant resistance)|5 - Very High Risk (Change-averse culture consistent failures)",No,No,"Stratex at Risk, Productivity Time at Risk"
