Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Scale,Risk_Metrics_Influenced
Company Registration,N/A,N/A,REG-001,Business Name,Business Name,Text,Free text,N/A
Company Registration,N/A,N/A,REG-002,Business Size,Business Size (FTEs),Number,Integer,All metrics
Company Registration,N/A,N/A,REG-003,Annual Revenue,Annual Revenue,Currency,Currency amount,Revenue at Risk
Company Registration,N/A,N/A,REG-004,Industry Sector,Industry Sector,Dropdown,GICS classification,All metrics
Company Registration,N/A,N/A,REG-005,Headquarter Country,Headquarter Country,Dropdown,Country list,All metrics
Company Registration,N/A,N/A,REG-006,Operational Regions,Operational Regions (tick all that apply),Multi-select,"Europe|North America|South America|Asia|Oceania|Africa",All metrics
Company Registration,N/A,N/A,REG-007,IT Infrastructure,IT Infrastructure Profile,Single select,"Cloud|On-Premises|Hybrid",Service Availability at Risk
Company Registration,N/A,N/A,REG-008,Business Model,Business Model,Dropdown,"Transaction/Sales|Fee-for-Service|Subscription/Recurring|B2B/Wholesale|Manufacturing/Production|Platform/Marketplace|Advertising|Franchise|Freemium|Licensing/IP",All metrics
Risk Assessment,Economics,Financials,FIN-001,Liquidity Risk,Liquidity Risk: likelihood of cash flow crisis due to shocks,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Capex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Financials,FIN-002,Market Factors Impact,Market Factors Impact: impact of interest/currency/inflation on operations,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Opex at Risk"
Risk Assessment,Economics,Financials,FIN-003,Insufficient Reserves,Insufficient Reserves: adequacy of contingency funds,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Capex at Risk"
Risk Assessment,Economics,Business Model,BM-001,Disruption Risk,Disruption Risk from market/competitor shifts,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BM-002,Revenue Concentration,Revenue Concentration risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Business Model,BM-003,Business Model Inflexibility,Business Model Inflexibility to pivot/adapt,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXT-001,Regulatory Changes Impact,Regulatory Changes impact on operations/costs,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Capex at Risk, Reputation at Risk"
Risk Assessment,Economics,External Environment,EXT-002,Macroeconomic Shocks,Macroeconomic Shocks impact on results,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Opex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,External Environment,EXT-003,Geopolitical/Supply Disruption,Geopolitical/Supply Disruption risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Product/Service Availability at Risk"
Risk Assessment,Economics,Governance,GOV-001,Decision/Oversight Weakness,Decision/Oversight weakness causing strategic/operational issues,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Stratex at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOV-002,Compliance Breach,Compliance Breach risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Opex at Risk, Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Economics,Governance,GOV-003,Accountability/Transparency Gaps,Accountability/Transparency gaps,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRD-001,Reputation Event Impact,Reputation Event Impact from single adverse event,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Reputation at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRD-002,Customer Trust Erosion,Customer Trust Erosion risk,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Reputation at Risk"
Risk Assessment,Enablers,Brand,BRD-003,Brand Differentiation Weakness,Brand Differentiation weakness,Scale 1-5,"1=Very Low Risk|2=Low Risk|3=Medium Risk|4=High Risk|5=Very High Risk","Revenue at Risk, Enterprise Value at Risk"
