Section,Domain,Dimension,Risk_Factor_ID,Risk_Factor,Question,Response_Type,Response_Units,Fallback_Scale,Business_Model_Specific,Geography_Specific,Risk_Metrics_Influenced
Company Registration,N/A,N/A,REG-001,Company Name,What is your company name?,Text,Free text,No,No,No,N/A
Company Registration,N/A,N/A,REG-002,Industry,What industry does your company operate in?,Dropdown,GICS classification,No,No,No,N/A
Company Registration,N/A,N/A,REG-003,Company Size,What is your company size?,Single Select,"Micro (1-10 employees)|Small (11-50 employees)|Medium (51-250 employees)|Large (251-1000 employees)|Enterprise (1000+ employees)",No,No,No,N/A
Company Registration,N/A,N/A,REG-004,Primary Business Model,What is your primary business model?,Dropdown,"Transaction/Sales|Fee-for-Service|Subscription/Recurring Revenue|B2B Sales/Wholesale|Manufacturing/Production|Platform/Marketplace|Advertising/Media|Franchise|Freemium|Licensing/IP",No,No,No,N/A
Company Registration,N/A,N/A,REG-005,Headquarters Country,In which country is your company headquartered?,Dropdown,All countries list,No,No,Yes,N/A
Company Registration,N/A,N/A,REG-006,Headquarters Region,What region is your headquarters in?,Auto-populated,"Europe|North America|South America|Asia|Oceania|Africa",No,No,Yes,N/A
Company Registration,N/A,N/A,REG-007,Operational Regions,In which regions do you operate?,Multi Select,"Europe|North America|South America|Asia|Oceania|Africa",No,No,Yes,N/A
Company Registration,N/A,N/A,REG-008,Primary IT Infrastructure,What is your primary IT infrastructure?,Single Select,"On-premises|Cloud-based|Hybrid|Managed by third party",No,No,No,Technology Reliability
Company Registration,N/A,N/A,REG-009,Critical Systems Count,How many critical systems does your organization have?,Number,Integer,No,No,No,Service Availability at Risk
Company Registration,N/A,N/A,REG-010,IT Team Size,How many people are on your IT team?,Number,Integer,No,No,No,Productivity Time at Risk
Risk Assessment,Enablers,Brand,BRAND-001a,Brand Awareness - Unaided,What is your unaided brand awareness in your primary market?,Percentage,%,Yes - 1-5 scale,No,No,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Enablers,Brand,BRAND-001b,Brand Awareness - Top of Mind,What is your top-of-mind brand awareness?,Percentage,%,Yes - 1-5 scale,No,No,"Revenue at Risk, Reputation at Risk"
Risk Assessment,Enablers,Brand,BRAND-002a,Brand Reputation - NPS,What is your Net Promoter Score (NPS)?,Score (Range -100 to +100),Score,Yes - 1-5 scale,No,No,"Reputation at Risk, Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRAND-002b,Brand Reputation - Incidents,How many reputation incidents occurred in the past 12 months?,Number,Count,Yes - severity scale,No,No,"Reputation at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRAND-003a,Brand Differentiation Score,What is your brand differentiation score (from market research)?,Score (0-100),Score,Yes - 1-5 scale,No,No,"Revenue at Risk, Enterprise Value at Risk"
Risk Assessment,Enablers,Brand,BRAND-003b,Unique Value Propositions,How many unique value propositions can customers recall?,Number,Count,Yes - 1-5 scale,No,No,"Revenue at Risk, Reputation at Risk"
